feature,importance
morgan_935,11
morgan_1799,11
morgan_802,11
maccs_32,11
maccs_123,11
morgan_968,11
morgan_1568,11
maccs_28,11
morgan_1910,11
morgan_1097,11
morgan_2046,11
morgan_1582,11
morgan_1238,11
maccs_90,11
morgan_1485,11
morgan_157,11
morgan_1542,10
morgan_1745,10
morgan_455,10
morgan_1741,10
morgan_908,10
morgan_926,10
morgan_1990,10
morgan_1405,10
morgan_448,10
morgan_1060,10
morgan_1308,10
morgan_1852,10
morgan_823,10
morgan_1168,10
morgan_790,10
morgan_1665,10
morgan_675,10
morgan_752,10
morgan_721,10
morgan_1040,10
morgan_1865,10
morgan_1453,10
morgan_384,10
morgan_314,10
morgan_142,10
morgan_140,10
maccs_154,10
morgan_121,10
maccs_153,10
morgan_41,10
maccs_117,10
morgan_333,10
maccs_98,10
morgan_2039,10
morgan_141,10
morgan_168,10
morgan_373,10
morgan_14,10
morgan_1148,9
morgan_503,9
morgan_516,9
morgan_1369,9
morgan_1954,9
morgan_1563,9
morgan_855,9
morgan_1911,9
morgan_474,9
morgan_1066,9
morgan_1627,9
morgan_832,9
morgan_1648,9
morgan_809,9
morgan_1309,9
morgan_546,9
morgan_548,9
morgan_591,9
morgan_1385,9
morgan_43,9
morgan_1387,9
morgan_1598,9
morgan_227,9
morgan_184,9
morgan_395,9
morgan_192,9
morgan_1898,9
morgan_1027,9
morgan_1280,9
morgan_736,9
morgan_1697,9
morgan_1235,9
morgan_2004,9
morgan_458,9
morgan_1341,9
morgan_1692,9
morgan_1017,9
morgan_412,9
morgan_309,9
morgan_1854,9
morgan_890,9
morgan_5,9
morgan_720,9
morgan_1879,9
morgan_641,9
maccs_147,9
morgan_1126,8
morgan_1858,8
morgan_1000,8
morgan_927,8
morgan_1604,8
morgan_708,8
morgan_1404,8
morgan_329,8
morgan_704,8
maccs_59,8
morgan_945,8
morgan_1943,8
morgan_211,8
morgan_233,8
maccs_22,8
morgan_94,8
morgan_312,8
morgan_107,8
morgan_102,8
morgan_222,8
maccs_72,8
morgan_196,8
morgan_300,8
morgan_1324,8
morgan_1377,8
morgan_781,8
morgan_1101,8
morgan_1874,8
morgan_1581,8
morgan_1080,8
morgan_1691,8
morgan_1081,8
morgan_1516,8
morgan_1189,8
morgan_259,8
morgan_289,8
morgan_470,8
morgan_1172,8
morgan_1419,8
morgan_1278,8
morgan_465,8
morgan_1291,8
morgan_1794,8
morgan_72,8
morgan_1789,8
morgan_1412,8
morgan_1077,7
morgan_685,7
morgan_2009,7
morgan_1978,7
morgan_571,7
morgan_1071,7
morgan_961,7
morgan_315,7
morgan_1629,7
morgan_786,7
morgan_2005,7
morgan_1095,7
morgan_575,7
morgan_692,7
morgan_479,7
maccs_56,7
morgan_473,7
morgan_425,7
morgan_656,7
morgan_1880,7
morgan_206,7
morgan_1756,7
morgan_757,7
morgan_1834,7
morgan_1825,7
maccs_43,7
morgan_1689,7
morgan_774,7
morgan_1536,7
morgan_776,7
morgan_347,7
morgan_1819,7
maccs_11,7
morgan_129,7
morgan_1496,7
morgan_992,7
morgan_878,7
morgan_1876,7
morgan_554,7
morgan_1738,7
morgan_1634,7
morgan_20,7
morgan_716,7
maccs_140,7
morgan_1847,7
morgan_814,7
morgan_1644,7
morgan_537,7
morgan_1481,7
morgan_162,7
morgan_920,7
morgan_32,7
morgan_1,7
morgan_372,7
morgan_8,7
morgan_1957,7
morgan_1594,6
morgan_1746,6
morgan_557,6
morgan_1142,6
morgan_1908,6
morgan_380,6
morgan_223,6
morgan_1062,6
morgan_727,6
morgan_1134,6
morgan_283,6
morgan_1734,6
morgan_1056,6
maccs_83,6
